id,strongs_number,language,original_word,transliteration,pronunciation,definition,kjv_usage,outline
14277,H80,hebrew,אָבָק,ʼâbâq,aw-bawk',light particles (as volatile),"(small) dust, powder.",from root of H79 (אָבַק);
14278,H81,hebrew,אֲבָקָה,ʼăbâqâh,ab-aw-kaw',{light particles (as volatile)},powder.,feminine of H80 (אָבָק)
14279,H82,hebrew,אָבַר,ʼâbar,aw-bar',to soar,fly.,a primitive root;
14280,H83,hebrew,אֵבֶר,ʼêber,ay-ber',a pinion,(long-) wing(-ed).,from H82 (אָבַר);
14281,H84,hebrew,אֶבְרָה,ʼebrâh,eb-raw',{a pinion},"feather, wing.",feminine of H83 (אֵבֶר)
14282,H85,hebrew,אַבְרָהָם,ʼAbrâhâm,ab-raw-hawm',"Abraham, the later name of Abram",Abraham.,contracted from H1 (אָב) and an unused root (probably meaning to be populous); father of a multitude;
14283,H86,hebrew,אַבְרֵךְ,ʼabrêk,ab-rake',kneel,bow the knee.,probably an Egyptian word meaning
14284,H87,hebrew,אַבְרָם,ʼAbrâm,ab-rawm',"Abram, the original name of Abraham",Abram.,contracted from H48 (אֲבִירָם); high father;
14285,H88,hebrew,אֹבֹת,ʼôbôth,o-both',"Oboth, a place in the Desert",Oboth.,plural of H178 (אוֹב); water-skins;
14286,H89,hebrew,אָגֵא,ʼÂgêʼ,aw-gay',"Age, an Israelite",Agee.,of uncertain derivation (compare H90 (אֲגַג));
14287,H90,hebrew,אֲגַג,ʼĂgag,ag-ag',"Agag, a title of Amalekitish kings",Agag.,or אֲגָג; of uncertain derivation (compare H89 (אָגֵא)); flame;
14288,H91,hebrew,אֲגָגִי,ʼĂgâgîy,ag-aw-ghee',an Agagite or descendent (subject) of Agag,Agagite.,patrial or patronymic from H90 (אֲגַג);
14289,H92,hebrew,אֲגֻדָּה,ʼăguddâh,ag-ood-daw',"a band, bundle, knot, or arch","bunch, burden, troop.",feminine passive participle of an unused root (meaning to bind);
14290,H93,hebrew,אֱגוֹז,ʼĕgôwz,eg-oze',a nut,nut.,prob of Persian origin;
14291,H94,hebrew,אָגוּר,ʼÂgûwr,aw-goor',"Agur, a fanciful name for Solomon",Agur.,passive participle of H103 (אָגַר); gathered (i.e. received among the sages);
